,HARPNUM,T_REC,NOAA_ARS
0,36,2010.05.31_00:00:00_TAI,MISSING
1,36,2010.05.31_00:12:00_TAI,MISSING
2,36,2010.05.31_00:24:00_TAI,MISSING
3,36,2010.05.31_00:36:00_TAI,MISSING
4,36,2010.05.31_00:48:00_TAI,MISSING
5,36,2010.05.31_01:00:00_TAI,MISSING
6,36,2010.05.31_01:12:00_TAI,MISSING
7,36,2010.05.31_01:24:00_TAI,MISSING
8,36,2010.05.31_01:36:00_TAI,MISSING
9,36,2010.05.31_01:48:00_TAI,MISSING
10,36,2010.05.31_02:00:00_TAI,MISSING
11,36,2010.05.31_02:12:00_TAI,MISSING
12,36,2010.05.31_02:24:00_TAI,MISSING
13,36,2010.05.31_02:36:00_TAI,MISSING
14,36,2010.05.31_02:48:00_TAI,MISSING
15,36,2010.05.31_03:00:00_TAI,MISSING
16,36,2010.05.31_03:12:00_TAI,MISSING
17,36,2010.05.31_03:24:00_TAI,MISSING
18,36,2010.05.31_03:36:00_TAI,MISSING
19,36,2010.05.31_03:48:00_TAI,MISSING
20,36,2010.05.31_04:00:00_TAI,MISSING
21,36,2010.05.31_04:12:00_TAI,MISSING
22,36,2010.05.31_04:24:00_TAI,MISSING
23,36,2010.05.31_04:36:00_TAI,MISSING
24,36,2010.05.31_04:48:00_TAI,MISSING
25,36,2010.05.31_05:00:00_TAI,MISSING
26,36,2010.05.31_05:12:00_TAI,MISSING
27,36,2010.05.31_05:24:00_TAI,MISSING
28,36,2010.05.31_05:36:00_TAI,MISSING
29,36,2010.05.31_05:48:00_TAI,MISSING
30,36,2010.05.31_06:00:00_TAI,MISSING
31,36,2010.05.31_06:12:00_TAI,MISSING
32,36,2010.05.31_06:24:00_TAI,MISSING
33,36,2010.05.31_06:36:00_TAI,MISSING
34,36,2010.05.31_07:00:00_TAI,MISSING
35,36,2010.05.31_07:12:00_TAI,MISSING
36,36,2010.05.31_07:24:00_TAI,MISSING
37,36,2010.05.31_07:36:00_TAI,MISSING
38,36,2010.05.31_08:00:00_TAI,MISSING
39,36,2010.05.31_08:48:00_TAI,MISSING
40,36,2010.05.31_09:48:00_TAI,MISSING
41,36,2010.05.31_11:00:00_TAI,MISSING
42,36,2010.05.31_11:12:00_TAI,MISSING
43,36,2010.05.31_11:36:00_TAI,MISSING
44,36,2010.05.31_11:48:00_TAI,MISSING
45,36,2010.05.31_12:12:00_TAI,MISSING
46,36,2010.05.31_12:24:00_TAI,MISSING
47,36,2010.05.31_12:36:00_TAI,MISSING
48,36,2010.05.31_12:48:00_TAI,MISSING
49,36,2010.05.31_13:00:00_TAI,MISSING
50,36,2010.05.31_13:12:00_TAI,MISSING
51,36,2010.05.31_13:24:00_TAI,MISSING
52,36,2010.05.31_13:36:00_TAI,MISSING
53,36,2010.05.31_13:48:00_TAI,MISSING
54,36,2010.05.31_14:00:00_TAI,MISSING
55,36,2010.05.31_14:12:00_TAI,MISSING
56,36,2010.05.31_14:24:00_TAI,MISSING
57,36,2010.05.31_14:36:00_TAI,MISSING
58,36,2010.05.31_14:48:00_TAI,MISSING
59,36,2010.05.31_15:00:00_TAI,MISSING
60,36,2010.05.31_15:12:00_TAI,MISSING
61,36,2010.05.31_15:24:00_TAI,MISSING
62,36,2010.05.31_15:36:00_TAI,MISSING
63,36,2010.05.31_15:48:00_TAI,MISSING
64,36,2010.05.31_16:00:00_TAI,MISSING
65,36,2010.05.31_16:12:00_TAI,MISSING
66,36,2010.05.31_16:24:00_TAI,MISSING
67,36,2010.05.31_16:36:00_TAI,MISSING
68,36,2010.05.31_16:48:00_TAI,MISSING
69,36,2010.05.31_17:00:00_TAI,MISSING
70,36,2010.05.31_17:12:00_TAI,MISSING
71,36,2010.05.31_17:24:00_TAI,MISSING
72,36,2010.05.31_17:36:00_TAI,MISSING
73,36,2010.05.31_17:48:00_TAI,MISSING
74,36,2010.05.31_18:00:00_TAI,MISSING
75,36,2010.05.31_18:12:00_TAI,MISSING
76,36,2010.05.31_18:24:00_TAI,MISSING
77,36,2010.05.31_18:36:00_TAI,MISSING
78,36,2010.05.31_18:48:00_TAI,MISSING
79,36,2010.05.31_19:00:00_TAI,MISSING
80,36,2010.05.31_19:12:00_TAI,MISSING
81,36,2010.05.31_19:24:00_TAI,MISSING
82,36,2010.05.31_19:36:00_TAI,MISSING
83,36,2010.05.31_19:48:00_TAI,MISSING
